class,precision,recall,f1-score,support
1,1,0.290322581,0.45,31
10분,0.928571429,0.829787234,0.876404494,47
119,0.940594059,0.940594059,0.940594059,202
12,0.8,0.75,0.774193548,48
12시,0,0,0,0
1시,0,0,0,0
1시간,0.925925926,0.757575758,0.833333333,33
1호,0.541284404,0.728395062,0.621052632,81
1회,0.857142857,0.363636364,0.510638298,33
2호,0.847826087,0.722222222,0.78,54
3,0.717948718,0.583333333,0.643678161,48
3시,0,0,0,0
3호,0,0,0,0
40분,0,0,0,0
4사람,0,0,0,0
50분,0,0,0,0
5분,0,0,0,0
5호,0,0,0,0
8호,0.592592593,0.941176471,0.727272727,34
9호,0.742857143,0.764705882,0.753623188,34
가까이,0.75,1,0.857142857,3
가깝다,0.84,0.807692308,0.823529412,52
가능,0.963235294,0.916083916,0.9390681,143
가다,0.870503597,0.867383513,0.868940754,1674
가다(차),0.6,0.3,0.4,10
가방,0.89380531,0.935185185,0.914027149,108
갈아타다,0.836734694,0.884892086,0.86013986,139
감사합니다,0,0,0,0
강남,0,0,0,0
같다,0.8,0.8,0.8,10
건너다,0.906779661,0.926406926,0.916488223,231
경찰,0.772972973,0.856287425,0.8125,167
계단,0.918918919,0.931506849,0.925170068,73
계산,0.861111111,0.96875,0.911764706,32
고속,0.774193548,0.727272727,0.75,33
고속터미널,0.909090909,0.935251799,0.921985816,139
고장,0.888040712,0.950953678,0.918421053,367
곳,0.771088115,0.831586067,0.800195249,2957
곳곳,0.805970149,0.574468085,0.670807453,188
공기청정기,0.948905109,0.955882353,0.952380952,136
공항,0.858638743,0.916201117,0.886486486,179
괜찮다,0.907407407,0.98,0.942307692,50
교통,0.8,0.8,0.8,5
교통카드,0,0,0,0
교환하다,0,0,0,0
국립박물관,0.715789474,0.906666667,0.8,75
군청,0.841726619,0.8125,0.826855124,144
그남자,0,0,0,0
그만,0,0,0,0
급하다,0,0,0,0
기다리다,0.952380952,0.952380952,0.952380952,63
기본,0.846153846,0.970588235,0.904109589,34
기차,0.870466321,0.949152542,0.908108108,177
길,0.917391304,0.922740525,0.92005814,686
까먹다,0,0,0,0
꼿다,0,0,0,0
끄다,0.919786096,0.868686869,0.893506494,198
끝,0,0,0,0
나,0.872340426,0.872340426,0.872340426,47
나르다,0.857142857,0.786885246,0.820512821,61
나사렛,0.893617021,0.9,0.896797153,280
난방,0.887700535,0.860103627,0.873684211,193
남다,0,0,0,0
내리다,0.91576614,0.924734191,0.920228317,3574
내역,0,0,0,0
냄새,0.941176471,0.727272727,0.820512821,66
노트북,0.923076923,0.75,0.827586207,32
누구,0,0,0,0
누적사용,0,0,0,0
늦다,0,0,0,0
다르다,0.806451613,0.555555556,0.657894737,45
다시,0.865384615,0.873786408,0.869565217,103
다음,0.903570339,0.930839359,0.917002168,3181
단말기터치,0.893023256,0.909952607,0.901408451,211
당신,0,0,0,0
대략,0,0,0,0
대로,0.912820513,0.927083333,0.919896641,192
도로,0.5,0.4,0.444444444,5
도와주다,0.944444444,0.962264151,0.953271028,53
도움,0.818181818,1,0.9,9
도움받다,0.9,0.9,0.9,50
도착,0.886094675,0.914503817,0.900075131,1965
돈,0.851162791,0.958115183,0.901477833,191
돈받다,0.763636364,0.893617021,0.823529412,47
돈얼마,0.777777778,0.245614035,0.373333333,57
돈주다,0.782608696,0.75,0.765957447,24
되다,0.900414938,0.904166667,0.902286902,240
뒤,0.675675676,0.694444444,0.684931507,36
들어올리다,0.952380952,0.983606557,0.967741935,61
따뜻하다,0.907407407,0.816666667,0.859649123,60
딱,0.895833333,0.87755102,0.886597938,49
떨어지다,0.85483871,0.452991453,0.592178771,117
또,0,0,0,0
롯데월드,0,0,0,0
마포대교,0.915254237,0.830769231,0.870967742,65
