true_label,true_text,pred_label,pred_text,count
325,__BLANK__,37,곳,313
325,__BLANK__,63,내리다,203
325,__BLANK__,273,차내리다,185
63,내리다,325,__BLANK__,156
37,곳,325,__BLANK__,137
23,가다,325,__BLANK__,121
325,__BLANK__,72,다음,110
273,차내리다,325,__BLANK__,106
325,__BLANK__,23,가다,100
325,__BLANK__,247,저기,97
325,__BLANK__,81,도착,94
37,곳,72,다음,89
325,__BLANK__,100,맞다,79
269,지하철,325,__BLANK__,77
325,__BLANK__,168,실종,74
72,다음,37,곳,70
38,곳곳,37,곳,69
325,__BLANK__,123,방법,66
150,서울농아인협회,311,한국농아인협회,66
311,한국농아인협회,150,서울농아인협회,66
