class,precision,recall,f1-score,support
1,0.375,0.0967741935483871,0.15384615384615385,31.0
10분,0.7674418604651163,0.7021276595744681,0.7333333333333333,47.0
119,0.8392857142857143,0.9306930693069307,0.8826291079812206,202.0
12,0.6153846153846154,0.3333333333333333,0.43243243243243246,48.0
12시,0.0,0.0,0.0,0.0
1시,0.0,0.0,0.0,0.0
1시간,0.8055555555555556,0.8787878787878788,0.8405797101449275,33.0
1호,0.4152542372881356,0.6049382716049383,0.49246231155778897,81.0
1회,0.6,0.18181818181818182,0.27906976744186046,33.0
2호,0.9090909090909091,0.37037037037037035,0.5263157894736842,54.0
3,0.62,0.6458333333333334,0.6326530612244898,48.0
3시,0.0,0.0,0.0,0.0
3호,0.0,0.0,0.0,0.0
40분,0.0,0.0,0.0,0.0
4사람,0.0,0.0,0.0,0.0
50분,0.0,0.0,0.0,0.0
5분,0.0,0.0,0.0,0.0
5호,0.0,0.0,0.0,0.0
8호,0.3076923076923077,0.11764705882352941,0.1702127659574468,34.0
9호,0.4090909090909091,0.7941176470588235,0.54,34.0
가까이,1.0,1.0,1.0,3.0
가깝다,0.7164179104477612,0.9230769230769231,0.8067226890756303,52.0
가능,0.9365079365079365,0.8251748251748252,0.8773234200743495,143.0
가다,0.8405963302752294,0.8757467144563919,0.8578115857226448,1674.0
가다(차),0.25,0.2,0.2222222222222222,10.0
가방,0.8952380952380953,0.8703703703703703,0.8826291079812206,108.0
갈아타다,0.7894736842105263,0.7553956834532374,0.7720588235294118,139.0
감사합니다,0.0,0.0,0.0,0.0
강남,0.0,0.0,0.0,0.0
같다,0.0,0.0,0.0,10.0
건너다,0.8760330578512396,0.9177489177489178,0.8964059196617337,231.0
경찰,0.7300613496932515,0.7125748502994012,0.7212121212121212,167.0
계단,0.6829268292682927,0.7671232876712328,0.7225806451612903,73.0
계산,0.4666666666666667,0.875,0.6086956521739131,32.0
고속,0.6818181818181818,0.45454545454545453,0.5454545454545454,33.0
고속터미널,0.825,0.9496402877697842,0.882943143812709,139.0
고장,0.87146529562982,0.9237057220708447,0.8968253968253969,367.0
곳,0.70475910693302,0.8112952316537031,0.7542839176230153,2957.0
곳곳,0.32748538011695905,0.2978723404255319,0.31197771587743733,188.0
공기청정기,0.9416058394160584,0.9485294117647058,0.945054945054945,136.0
공항,0.8449197860962567,0.88268156424581,0.8633879781420765,179.0
괜찮다,0.8771929824561403,1.0,0.9345794392523364,50.0
교통,1.0,0.4,0.5714285714285714,5.0
교통카드,0.0,0.0,0.0,0.0
교환하다,0.0,0.0,0.0,0.0
국립박물관,0.5803571428571429,0.8666666666666667,0.6951871657754011,75.0
군청,0.6807228915662651,0.7847222222222222,0.7290322580645161,144.0
그남자,0.0,0.0,0.0,0.0
그만,0.0,0.0,0.0,0.0
급하다,0.0,0.0,0.0,0.0
기다리다,0.9104477611940298,0.9682539682539683,0.9384615384615385,63.0
기본,0.90625,0.8529411764705882,0.8787878787878788,34.0
기차,0.7477876106194691,0.9548022598870056,0.8387096774193549,177.0
길,0.868632707774799,0.9446064139941691,0.9050279329608939,686.0
까먹다,0.0,0.0,0.0,0.0
꼿다,0.0,0.0,0.0,0.0
끄다,0.8048780487804879,0.8333333333333334,0.8188585607940446,198.0
끝,0.0,0.0,0.0,0.0
나,0.7435897435897436,0.6170212765957447,0.6744186046511628,47.0
나르다,0.7857142857142857,0.7213114754098361,0.7521367521367521,61.0
나사렛,0.8970588235294118,0.8714285714285714,0.8840579710144928,280.0
난방,0.8128654970760234,0.7202072538860104,0.7637362637362637,193.0
남다,0.0,0.0,0.0,0.0
내리다,0.9227455485353245,0.8989927252378288,0.9107142857142857,3574.0
내역,0.0,0.0,0.0,0.0
냄새,1.0,0.45454545454545453,0.625,66.0
노트북,0.8888888888888888,0.75,0.8135593220338984,32.0
누구,0.0,0.0,0.0,0.0
누적사용,0.0,0.0,0.0,0.0
늦다,0.0,0.0,0.0,0.0
다르다,0.7727272727272727,0.37777777777777777,0.5074626865671642,45.0
다시,0.688,0.8349514563106796,0.7543859649122807,103.0
다음,0.8929900744416873,0.9050613014775228,0.8989851678376268,3181.0
단말기터치,0.6972111553784861,0.8293838862559242,0.7575757575757576,211.0
당신,0.0,0.0,0.0,0.0
대략,0.0,0.0,0.0,0.0
대로,0.855072463768116,0.921875,0.8872180451127819,192.0
도로,0.0,0.0,0.0,5.0
도와주다,0.819672131147541,0.9433962264150944,0.8771929824561403,53.0
도움,0.0,0.0,0.0,9.0
도움받다,0.8913043478260869,0.82,0.8541666666666666,50.0
도착,0.8470588235294118,0.916030534351145,0.8801955990220048,1965.0
돈,0.9333333333333333,0.8795811518324608,0.9056603773584906,191.0
돈받다,0.7142857142857143,0.2127659574468085,0.32786885245901637,47.0
돈얼마,0.38461538461538464,0.08771929824561403,0.14285714285714285,57.0
돈주다,0.375,0.125,0.1875,24.0
되다,0.848,0.8833333333333333,0.8653061224489796,240.0
뒤,0.5714285714285714,0.6666666666666666,0.6153846153846154,36.0
들어올리다,0.9076923076923077,0.9672131147540983,0.9365079365079365,61.0
따뜻하다,0.8301886792452831,0.7333333333333333,0.7787610619469026,60.0
딱,0.8478260869565217,0.7959183673469388,0.8210526315789474,49.0
떨어지다,0.6987951807228916,0.49572649572649574,0.58,117.0
또,0.0,0.0,0.0,0.0
롯데월드,0.0,0.0,0.0,0.0
마포대교,0.9491525423728814,0.8615384615384616,0.9032258064516129,65.0
막차,0.0,0.0,0.0,0.0
만나다,0.0,0.0,0.0,0.0
만원,0.7183098591549296,0.9622641509433962,0.8225806451612904,53.0
말하다,0.0,0.0,0.0,0.0
말해주다,0.0,0.0,0.0,21.0
맞다,0.8746195982958004,0.8936567164179104,0.8840356813288219,1608.0
맥도날드,0.759493670886076,0.967741935483871,0.851063829787234,124.0
