class,precision,recall,f1-score,support
1,0.8333333333333334,0.16129032258064516,0.2702702702702703,31.0
10분,0.8,0.851063829787234,0.8247422680412371,47.0
119,0.8847926267281107,0.9504950495049505,0.9164677804295943,202.0
12,0.7560975609756098,0.6458333333333334,0.6966292134831461,48.0
12시,0.0,0.0,0.0,0.0
1시,0.0,0.0,0.0,0.0
1시간,0.8571428571428571,0.9090909090909091,0.8823529411764706,33.0
1호,0.43,0.5308641975308642,0.47513812154696133,81.0
1회,0.6923076923076923,0.2727272727272727,0.391304347826087,33.0
2호,0.6027397260273972,0.8148148148148148,0.6929133858267716,54.0
3,0.5909090909090909,0.8125,0.6842105263157895,48.0
3시,0.0,0.0,0.0,0.0
3호,0.0,0.0,0.0,0.0
40분,0.0,0.0,0.0,0.0
4사람,0.0,0.0,0.0,0.0
50분,0.0,0.0,0.0,0.0
5분,0.0,0.0,0.0,0.0
5호,0.0,0.0,0.0,0.0
8호,0.5789473684210527,0.3235294117647059,0.41509433962264153,34.0
9호,0.4117647058823529,0.6176470588235294,0.49411764705882355,34.0
가까이,0.6,1.0,0.75,3.0
가깝다,0.8269230769230769,0.8269230769230769,0.8269230769230769,52.0
가능,0.875,0.9300699300699301,0.9016949152542373,143.0
가다,0.8713667285095856,0.8416965352449224,0.8562746885445154,1674.0
가다(차),0.4444444444444444,0.4,0.42105263157894735,10.0
가방,0.8095238095238095,0.9444444444444444,0.8717948717948718,108.0
갈아타다,0.7642857142857142,0.7697841726618705,0.7670250896057348,139.0
감사합니다,0.0,0.0,0.0,0.0
강남,0.0,0.0,0.0,0.0
같다,0.0,0.0,0.0,10.0
건너다,0.8745098039215686,0.9653679653679653,0.9176954732510288,231.0
경찰,0.6877828054298643,0.9101796407185628,0.7835051546391752,167.0
계단,0.8387096774193549,0.7123287671232876,0.7703703703703704,73.0
계산,0.7441860465116279,1.0,0.8533333333333334,32.0
고속,0.7058823529411765,0.7272727272727273,0.7164179104477612,33.0
고속터미널,0.8571428571428571,0.9496402877697842,0.9010238907849829,139.0
고장,0.8762376237623762,0.9645776566757494,0.9182879377431906,367.0
곳,0.7136191309419656,0.8275278998985458,0.7663639210773567,2957.0
곳곳,0.46774193548387094,0.30851063829787234,0.3717948717948718,188.0
공기청정기,0.9398496240601504,0.9191176470588235,0.929368029739777,136.0
공항,0.8638743455497382,0.9217877094972067,0.8918918918918919,179.0
괜찮다,0.819672131147541,1.0,0.9009009009009009,50.0
교통,0.75,0.6,0.6666666666666666,5.0
